booking_id,e_id,customer_id,num_tickets,price,booking_date,booking_time,booking_label
1,1087,416,8,240,2017-07-08,03:05:00,YES
2,488,78,6,240,2017-07-09,07:40:00,YES
3,278,309,1,45,2017-01-24,12:32:00,YES
4,1259,406,7,350,2017-02-20,06:17:00,YES
5,1073,849,5,125,2017-07-03,03:47:00,YES
6,1791,77,3,120,2017-05-08,07:27:00,YES
7,784,416,5,200,2017-05-20,22:52:00,YES
8,728,446,9,180,2017-02-28,19:10:00,YES
9,1403,561,10,400,2017-01-29,14:32:00,YES
10,987,587,4,160,2017-06-08,12:07:00,YES
11,1925,581,7,350,2017-05-22,10:12:00,YES
12,346,495,6,180,2017-05-08,14:45:00,YES
13,290,514,2,90,2017-02-07,05:36:00,YES
14,325,687,1,45,2017-05-07,18:29:00,YES
15,1892,647,4,120,2017-01-25,14:34:00,YES
16,1049,79,7,140,2017-03-17,03:01:00,YES
17,1876,14,3,90,2017-05-11,00:28:00,YES
18,1195,11,9,225,2017-02-16,12:24:00,YES
19,1074,304,4,160,2017-01-30,05:14:00,YES
20,989,990,4,100,2017-04-08,10:06:00,YES
21,1481,830,6,120,2017-05-28,09:09:00,YES
22,772,87,1,25,2017-07-25,06:17:00,YES
23,1907,714,2,70,2017-06-04,11:41:00,YES
24,692,107,9,225,2017-07-12,06:57:00,YES
25,1352,595,4,200,2017-07-01,13:11:00,YES
26,1365,699,4,100,2017-02-18,22:44:00,YES
27,1615,217,3,60,2017-06-30,21:01:00,YES
28,287,562,10,500,2017-07-15,04:46:00,YES
29,1657,615,1,40,2017-03-12,04:53:00,YES
30,196,88,6,180,2017-07-01,23:41:00,YES
31,102,220,3,150,2017-06-02,16:18:00,YES
32,1836,561,2,60,2017-01-01,22:48:00,YES
33,1156,172,3,150,2017-02-02,20:54:00,YES
34,844,371,8,200,2017-03-24,21:53:00,YES
35,696,478,9,360,2017-02-13,00:57:00,YES
36,576,254,5,100,2017-06-13,15:23:00,YES
37,1163,47,2,70,2017-04-05,00:30:00,YES
38,1508,732,6,300,2017-05-11,05:27:00,YES
39,141,397,5,100,2017-02-04,08:22:00,YES
40,1650,76,10,350,2017-04-14,22:36:00,YES
41,873,766,6,150,2017-04-19,20:44:00,YES
42,170,531,1,35,2017-02-16,01:54:00,YES
43,1065,216,10,450,2017-06-27,05:00:00,YES
44,365,899,8,320,2017-02-22,05:30:00,YES
45,920,143,1,40,2017-02-04,13:59:00,YES
46,1534,388,9,315,2017-02-27,14:39:00,YES
47,1850,788,5,125,2017-03-24,13:56:00,YES
48,1017,72,10,350,2017-07-08,04:44:00,YES
49,203,432,9,180,2017-04-05,16:39:00,YES
50,137,644,1,25,2017-03-04,01:07:00,YES
51,1692,791,7,350,2017-07-23,10:31:00,YES
52,807,206,10,250,2017-03-03,01:29:00,YES
53,615,584,8,280,2017-04-29,16:41:00,YES
54,444,146,6,150,2017-02-23,17:41:00,YES
55,1560,706,2,70,2017-06-25,15:41:00,YES
56,534,394,7,175,2017-03-05,07:02:00,YES
57,822,509,6,270,2017-06-23,17:22:00,YES
58,515,239,9,360,2017-04-07,14:44:00,YES
59,1924,688,10,250,2017-02-28,14:37:00,YES
60,1501,386,5,250,2017-05-03,21:07:00,YES
61,1433,818,5,175,2017-06-28,00:25:00,YES
62,968,81,8,320,2017-07-03,15:27:00,YES
63,674,769,7,280,2017-06-29,18:03:00,YES
64,89,401,1,45,2017-02-24,18:18:00,YES
65,1784,609,4,160,2017-06-12,18:26:00,YES
66,1071,110,4,80,2017-03-25,23:37:00,YES
67,1026,29,5,100,2017-06-29,03:23:00,YES
68,599,966,7,280,2017-07-16,23:25:00,YES
69,299,440,9,405,2017-05-04,06:52:00,YES
70,866,40,6,150,2017-03-08,11:25:00,YES
71,802,1000,2,70,2017-05-26,16:10:00,YES
72,469,563,5,175,2017-03-19,07:21:00,YES
73,555,719,6,300,2017-04-16,17:28:00,YES
74,906,925,10,300,2017-03-04,10:14:00,YES
75,952,43,10,400,2017-03-09,16:10:00,YES
76,1813,256,9,315,2017-06-09,12:20:00,YES
77,142,790,1,40,2017-07-15,12:28:00,YES
78,967,814,10,400,2017-04-18,17:19:00,YES
79,1129,295,3,150,2017-02-18,00:07:00,YES
80,935,27,8,360,2017-05-31,12:12:00,YES
81,1295,635,8,280,2017-02-10,14:40:00,YES
82,1499,739,5,100,2017-05-24,19:13:00,YES
83,1911,62,10,450,2017-04-28,05:23:00,YES
84,1042,67,1,40,2017-05-09,13:10:00,YES
85,1753,997,4,120,2017-07-17,07:33:00,YES
86,1487,631,6,120,2017-01-28,06:53:00,YES
87,617,589,6,270,2017-05-11,14:40:00,YES
88,774,305,3,60,2017-07-06,11:33:00,YES
89,1758,767,2,90,2017-02-25,17:23:00,YES
90,1020,861,5,250,2017-06-17,01:27:00,YES
91,1406,201,9,180,2017-03-06,12:15:00,YES
92,1422,101,7,210,2017-07-28,15:17:00,YES
93,746,177,4,140,2017-07-16,23:27:00,YES
94,1305,262,6,270,2017-05-11,22:49:00,YES
95,1191,485,5,125,2017-07-02,02:17:00,YES
96,1243,950,2,50,2017-04-22,11:08:00,YES
97,1465,401,1,35,2017-03-23,02:22:00,YES
98,1423,971,1,40,2017-01-04,13:05:00,YES
99,442,530,2,80,2017-03-12,05:21:00,YES
100,997,33,5,175,2017-07-13,13:02:00,YES
101,3,586,8,160,2017-02-10,20:55:00,YES
102,122,679,2,80,2017-06-13,06:24:00,YES
103,1627,486,7,140,2017-06-08,17:06:00,YES
104,1197,978,10,200,2017-03-01,00:59:00,YES
105,845,768,4,80,2017-02-25,07:40:00,YES
106,1963,557,1,25,2017-01-26,19:03:00,YES
107,1491,756,9,450,2017-01-17,09:19:00,YES
108,1021,245,6,150,2017-01-28,13:32:00,YES
109,91,140,10,200,2017-05-04,22:24:00,YES
110,1916,274,10,200,2017-03-18,15:04:00,YES
111,1389,849,8,280,2017-02-28,22:21:00,YES
112,1498,341,3,150,2017-02-21,11:39:00,YES
113,1444,237,3,135,2017-04-27,23:35:00,YES
114,1042,638,8,320,2017-03-01,16:45:00,YES
115,626,508,2,50,2017-04-13,03:52:00,YES
116,1065,345,3,135,2017-04-09,05:31:00,YES
117,1274,139,5,225,2017-06-26,02:04:00,YES
118,1691,88,1,50,2017-03-29,16:23:00,YES
119,1958,794,3,105,2017-05-18,06:22:00,YES
120,1090,462,3,150,2017-02-12,03:11:00,YES
121,1936,509,7,315,2017-05-21,09:58:00,YES
122,72,51,9,360,2017-03-17,19:50:00,YES
123,1008,975,7,210,2017-01-14,03:46:00,YES
124,1235,973,6,150,2017-02-21,20:29:00,YES
125,585,922,7,315,2017-03-14,06:43:00,YES
126,970,869,7,350,2017-04-17,02:49:00,YES
127,1701,343,5,225,2017-05-22,08:18:00,YES
128,1114,503,10,200,2017-01-20,17:44:00,YES
129,665,731,5,175,2017-07-11,08:21:00,YES
130,214,409,7,245,2017-05-26,23:38:00,YES
131,250,371,2,70,2017-03-13,04:01:00,YES
132,1057,939,1,25,2017-02-12,02:06:00,YES
133,6,133,10,350,2017-01-13,00:41:00,YES
134,1928,889,4,80,2017-02-24,05:36:00,YES
135,1367,570,3,135,2017-03-30,03:07:00,YES
136,1898,279,5,175,2017-05-23,23:46:00,YES
137,1610,226,9,360,2017-05-19,21:52:00,YES
138,1853,997,9,180,2017-07-23,23:34:00,YES
139,1405,563,2,90,2017-01-02,07:04:00,YES
140,1948,725,10,350,2017-05-08,05:37:00,YES
141,888,755,7,210,2017-01-28,04:02:00,YES
142,1933,4,4,80,2017-03-15,20:23:00,YES
143,262,960,6,270,2017-07-19,06:19:00,YES
144,454,327,2,80,2017-04-11,23:42:00,YES
145,181,349,8,360,2017-03-17,09:16:00,YES
146,1860,860,8,280,2017-02-14,17:01:00,YES
147,747,74,1,40,2017-06-02,06:55:00,YES
148,303,39,6,210,2017-05-11,18:14:00,YES
149,961,977,5,225,2017-02-12,11:51:00,YES
150,156,591,5,250,2017-04-04,12:50:00,YES
151,1165,786,4,120,2017-03-12,12:32:00,YES
152,1179,654,4,140,2017-04-01,19:58:00,YES
153,842,756,1,40,2017-02-22,09:32:00,YES
154,1536,997,6,300,2017-06-17,01:15:00,YES
155,174,705,4,140,2017-04-09,16:10:00,YES
156,26,258,2,90,2017-05-18,01:59:00,YES
157,1537,507,3,105,2017-06-19,13:57:00,YES
158,461,944,1,40,2017-01-16,01:35:00,YES
159,423,944,4,100,2017-02-02,15:15:00,YES
160,1742,177,5,200,2017-04-27,00:27:00,YES
161,132,589,9,180,2017-03-10,19:35:00,YES
162,1072,904,1,50,2017-07-06,05:14:00,YES
163,918,306,3,90,2017-03-18,06:14:00,YES
164,1674,36,7,245,2017-04-16,11:14:00,YES
165,512,334,7,210,2017-04-15,21:47:00,YES
166,565,907,6,300,2017-04-27,05:52:00,YES
167,1466,762,6,300,2017-02-22,01:43:00,YES
168,1257,224,8,360,2017-06-13,22:01:00,YES
