hall_id,capacity,availability_label,location,name_hall
1,100,YES,Suite 836,Johnview
2,100,YES,Apt. 651,Frederickbury
3,100,YES,Suite 443,Port Thomas
4,100,YES,Suite 101,Williamsport
5,100,YES,Suite 053,Rivasview
6,100,YES,Suite 788,South Michelle
7,100,YES,Suite 055,East Kimberlyfurt
8,100,YES,Suite 672,New Matthew
9,100,YES,Apt. 273,Michellechester
10,100,YES,Apt. 840,Port Stanleystad
11,100,YES,Apt. 532,Lake Alexfort
12,100,YES,Apt. 252,Alexanderburgh
13,100,YES,Apt. 495,Martinezborough
14,100,YES,Suite 065,Ashleystad
15,100,YES,Suite 891,Port Teresa
16,100,YES,Suite 497,East Anthonyton
17,100,YES,Apt. 664,North Allenberg
18,100,YES,Suite 713,Josephside
19,100,YES,Suite 701,Jennifertown
20,100,YES,Suite 681,North David
21,100,YES,Suite 896,Mccormickberg
22,100,YES,Suite 737,Hendrickstown
23,100,YES,Suite 448,Richardland
24,100,YES,Apt. 365,Port Kayla
25,100,YES,Suite 461,Humphreyshire
26,100,YES,Suite 987,Campbellstad
27,100,YES,Suite 860,Lake Alexander
28,100,YES,Suite 496,Williamsstad
29,100,YES,Apt. 100,Bakermouth
30,100,YES,Suite 126,North Victoria
31,100,YES,Suite 945,West Barbara
32,100,YES,Apt. 686,Davidtown
33,100,YES,Suite 953,South Rebecca
34,100,YES,Apt. 045,Frankburgh
35,100,YES,Suite 257,Hansenmouth
36,100,YES,Suite 444,Paulchester
37,100,YES,Apt. 064,East Catherineside
38,100,YES,Apt. 412,New Priscilla
39,100,YES,Apt. 437,Fishershire
40,100,YES,Apt. 170,Jamesview
41,100,YES,Apt. 906,Cardenashaven
42,100,YES,Apt. 241,Brendabury
43,100,YES,Suite 480,Cooperland
44,100,YES,Apt. 192,Port Gabriel
45,100,YES,Apt. 998,North Bobbyland
46,100,YES,Suite 592,Lake Joseside
47,100,YES,Suite 175,Weeksstad
48,100,YES,Apt. 635,Silvaville
49,100,YES,Suite 210,Victoriaburgh
50,100,YES,Apt. 112,Nathanside
51,100,YES,Suite 785,Port Dustin
52,100,YES,Suite 031,Mejiaberg
53,100,YES,Suite 861,Port Dawn
54,100,YES,Apt. 663,Brettstad
55,100,YES,Apt. 749,Deborahview
56,100,YES,Apt. 318,Adamsburgh
57,100,YES,Suite 859,Pachecobury
58,100,YES,Suite 623,Jamesmouth
59,100,YES,Suite 312,East Marychester
60,100,YES,Suite 915,Port Matthew
61,100,YES,Apt. 258,Port Evelynton
62,100,YES,Suite 441,Lake Alex
63,100,YES,Apt. 667,Shannonfort
64,100,YES,Suite 120,New Teresafurt
65,100,YES,Suite 744,New Deborahmouth
66,100,YES,Suite 718,North Rachelchester
67,100,YES,Apt. 836,West Jasonville
68,100,YES,Suite 860,Lake Heather
69,100,YES,Suite 664,Port Maryfort
70,100,YES,Suite 238,New Michael
71,100,YES,Suite 783,North Daniel
72,100,YES,Suite 516,Perezburgh
73,100,YES,Apt. 217,North Nicoleville
74,100,YES,Suite 730,East Julieside
75,100,YES,Suite 661,South Maryside
76,100,YES,Suite 857,Bettymouth
