hall_id,stage_size,no_of_green_rooms
501,5259,1
502,5026,8
503,8413,7
504,6923,5
505,6364,6
506,6887,5
507,9436,5
508,5816,6
509,8512,10
510,7609,10
511,9174,2
512,4396,8
513,6586,10
514,8848,9
515,4419,9
516,8031,10
517,9214,1
518,9742,9
519,9584,5
520,9533,10
521,8599,8
522,5115,1
523,7716,2
524,9136,4
525,7353,7
526,7028,8
527,5996,2
528,9586,1
529,6581,9
530,5950,6
531,5066,9
532,9291,3
533,4293,6
534,4739,9
535,7216,8
536,9621,4
537,7797,3
538,4744,1
539,8845,4
540,8077,10
541,5963,6
542,7494,2
543,5102,2
544,8813,4
545,9079,4
546,8691,4
547,4238,2
548,4911,9
549,4118,1
550,6237,3
551,7886,10
552,8799,4
553,5203,6
554,6571,6
555,8595,6
556,4998,5
557,5029,2
558,8713,3
559,9188,1
560,9773,6
561,5594,9
562,4338,4
563,4200,9
564,6079,3
565,9610,2
566,9221,7
567,7731,6
568,5151,4
569,7064,7
570,5280,6
571,5212,7
572,8841,5
573,6074,9
574,9918,4
575,7787,3
576,9030,3
577,9931,10
578,5912,7
579,7054,9
580,8529,8
581,4320,4
582,8197,2
583,7611,4
584,7334,2
585,6427,5
586,4128,8
587,6353,2
588,8183,5
589,8862,3
590,9484,3
591,7368,10
592,8778,7
593,5510,6
594,7214,10
595,4326,2
596,8070,7
597,6024,4
598,7207,7
599,4762,5
600,5999,4
601,8488,8
602,5129,6
603,8790,5
604,7174,5
605,5785,10
606,9392,1
607,8098,7
608,5199,4
609,4703,3
610,8561,4
611,4454,1
612,8571,2
613,5653,7
614,4255,2
615,4180,1
616,8768,2
617,6442,9
618,6080,2
619,6980,8
620,4548,2
621,7053,3
622,7626,6
623,4988,1
624,7570,4
625,7691,1
626,5060,7
627,5482,5
628,6811,2
629,6652,5
630,7238,3
631,9339,1
632,5947,3
633,7653,5
634,4568,9
635,7943,10
636,9539,7
637,8814,4
638,8538,8
639,8560,6
640,4133,6
641,7109,6
642,6317,7
643,7006,1
644,5592,2
645,4583,3
646,4160,2
647,6619,9
648,8619,2
649,5402,7
650,4200,9
651,5515,6
652,5802,7
653,6286,4
654,6433,1
655,7606,5
656,4700,3
657,7872,1
658,6993,6
659,4438,10
660,8845,5
661,6425,4
662,9446,3
663,9856,1
664,7759,6
665,8788,5
666,9174,4
667,4802,2
668,5959,7
669,6978,8
670,9085,10
671,8739,7
672,6214,1
673,6717,7
674,9296,9
675,4072,8
676,7257,7
677,7276,1
678,7288,5
679,4968,8
680,6780,6
681,8731,8
682,4752,9
683,9050,10
684,6498,2
685,4482,5
686,9788,8
687,4598,10
688,9803,8
689,8856,9
690,9371,9
691,7091,2
692,9178,10
693,7315,10
694,9604,2
695,7355,7
696,7374,6
697,5470,10
698,6566,8
699,9951,6
700,7242,5
701,4749,3
702,6721,7
703,5235,10
704,4740,10
705,9987,1
706,5781,7
707,6291,2
708,7721,6
709,5118,8
710,8710,6
711,4472,7
712,6951,6
713,9273,1
714,7928,8
715,5123,2
716,6154,10
717,5228,2
718,5416,2
719,8504,5
720,6301,3
721,5006,10
722,9553,5
723,9582,6
724,5001,9
725,9036,7
726,6387,7
727,9178,3
728,9473,4
729,9221,8
730,9445,9
731,5206,1
732,8944,8
733,7361,4
734,9583,10
735,7282,4
736,4378,1
737,5169,9
738,8986,6
739,6325,6
740,8590,6
741,4582,8
742,5874,1
743,8769,4
744,7180,10
745,9653,9
746,7028,2
747,8443,8
748,5109,5
749,8252,2
750,6458,7
751,8714,9
752,7664,4
753,4716,2
754,6852,9
755,4132,9
756,6848,9
757,6289,4
758,6495,7
759,9548,5
760,9975,10
761,9654,10
762,6441,7
763,4033,6
764,6207,2
765,8041,4
766,4719,5
767,7507,5
768,5040,5
769,9329,9
770,7525,3
771,4242,10
772,4828,7
773,6250,8
774,8792,5
775,4811,10
776,4473,7
777,9967,10
778,5223,3
779,7398,2
780,7279,7
781,5907,8
782,5232,10
783,9711,1
784,7186,7
785,7648,5
786,7297,9
787,7950,6
788,6726,3
789,6008,3
790,8728,2
791,8967,3
792,9179,3
793,4488,10
794,7447,6
795,9988,6
796,4881,6
797,6030,8
798,9968,4
799,4675,6
800,4480,2
801,8622,10
802,5922,4
803,5142,6
804,5509,6
805,5591,9
806,6641,5
807,7231,1
808,9332,9
809,7472,5
810,7243,4
811,9618,7
812,9605,3
813,4604,2
814,7067,7
815,8855,9
816,6161,7
817,9030,10
818,7137,10
819,6264,7
820,6407,3
821,9892,3
822,7610,10
823,9283,8
824,5094,5
825,9283,2
826,8663,2
827,5038,10
828,9217,10
829,4287,6
830,8818,7
831,8660,6
832,9094,5
833,5465,8
834,9661,4
835,7416,10
836,5474,1
837,6509,4
838,4252,1
839,7633,5
840,8554,10
841,7648,5
842,6456,10
843,5928,2
844,7713,10
845,8239,8
846,6186,4
847,4629,4
848,6454,2
849,8836,7
850,9315,1
851,9515,7
852,4910,6
853,6266,4
854,8729,3
855,4248,5
