booking_id,e_id,customer_id,num_tickets,price,booking_date,booking_time,booking_label
1,624,533,5,225,2017-03-11,10:59:00,YES
2,1884,862,6,180,2017-04-10,23:56:00,YES
3,800,914,4,180,2017-01-21,20:46:00,YES
4,1326,791,3,60,2017-01-23,16:34:00,YES
5,1399,436,6,300,2017-05-24,13:47:00,YES
6,1809,445,4,180,2017-05-11,05:29:00,YES
7,533,624,1,35,2017-03-12,13:04:00,YES
8,447,147,7,175,2017-06-30,11:15:00,YES
9,956,531,1,30,2017-03-07,07:24:00,YES
10,458,736,2,70,2017-06-27,18:47:00,YES
11,159,780,2,40,2017-03-30,10:47:00,YES
12,1525,44,3,105,2017-05-13,08:46:00,YES
13,865,28,10,450,2017-01-30,12:40:00,YES
14,1969,371,3,75,2017-06-16,18:20:00,YES
15,1884,47,6,180,2017-01-22,10:53:00,YES
16,823,114,1,35,2017-04-28,04:51:00,YES
17,1109,608,2,80,2017-03-08,23:49:00,YES
18,615,799,8,200,2017-03-23,20:16:00,YES
19,1173,385,3,75,2017-03-30,02:01:00,YES
20,910,672,5,200,2017-01-11,04:20:00,YES
21,920,34,4,120,2017-01-26,04:51:00,YES
22,1832,343,2,90,2017-05-23,01:31:00,YES
23,115,14,5,225,2017-05-04,10:17:00,YES
24,1076,205,4,120,2017-04-28,02:53:00,YES
25,1223,706,3,90,2017-03-13,23:45:00,YES
26,1771,777,9,360,2017-01-30,20:56:00,YES
27,1291,317,4,80,2017-06-15,21:57:00,YES
28,342,862,9,360,2017-03-16,22:11:00,YES
29,665,852,1,20,2017-03-01,09:58:00,YES
30,1202,960,4,180,2017-06-24,16:14:00,YES
31,458,28,10,350,2017-04-02,04:27:00,YES
32,1183,634,6,270,2017-06-10,07:46:00,YES
33,155,804,2,70,2017-01-26,15:22:00,YES
34,1842,326,5,125,2017-05-24,04:19:00,YES
35,1769,244,7,315,2017-07-21,19:34:00,YES
36,830,611,5,225,2017-02-11,07:45:00,YES
37,318,397,1,40,2017-01-08,00:36:00,YES
38,881,620,5,100,2017-07-22,11:06:00,YES
39,772,791,5,125,2017-03-02,19:13:00,YES
40,1878,555,8,160,2017-06-08,09:57:00,YES
41,278,447,6,240,2017-07-10,08:01:00,YES
42,1479,656,1,45,2017-03-20,23:50:00,YES
43,1666,905,6,210,2017-06-15,09:00:00,YES
44,393,841,10,350,2017-03-04,23:10:00,YES
45,548,766,7,210,2017-07-24,07:29:00,YES
46,1534,777,3,150,2017-07-30,12:48:00,YES
47,1076,977,6,180,2017-05-05,08:52:00,YES
48,498,828,9,225,2017-01-25,21:17:00,YES
49,1585,521,1,40,2017-01-07,18:31:00,YES
50,331,12,9,270,2017-02-11,07:49:00,YES
51,1206,175,8,200,2017-06-18,19:39:00,YES
52,877,917,2,100,2017-01-06,13:50:00,YES
53,722,371,5,250,2017-03-06,14:22:00,YES
54,46,89,7,315,2017-02-19,14:10:00,YES
55,1756,451,1,30,2017-01-06,03:11:00,YES
56,590,41,6,210,2017-06-01,23:31:00,YES
57,138,467,1,30,2017-02-28,21:28:00,YES
58,1181,547,10,350,2017-01-16,20:31:00,YES
59,781,952,9,180,2017-05-01,16:31:00,YES
60,1222,926,3,135,2017-05-04,03:53:00,YES
61,1487,873,9,405,2017-06-04,22:53:00,YES
62,965,528,5,225,2017-02-07,20:35:00,YES
63,1059,122,3,120,2017-04-08,15:17:00,YES
64,1731,33,1,20,2017-05-02,15:45:00,YES
65,362,55,4,180,2017-04-05,13:01:00,YES
66,1047,999,4,80,2017-07-30,04:35:00,YES
67,1853,424,9,270,2017-07-05,00:09:00,YES
68,577,199,7,280,2017-01-19,12:11:00,YES
69,1720,135,5,250,2017-01-16,14:11:00,YES
70,281,311,7,280,2017-06-05,17:40:00,YES
71,1978,546,5,100,2017-02-07,16:19:00,YES
72,1558,214,7,350,2017-07-28,07:52:00,YES
73,403,277,2,80,2017-03-07,02:21:00,YES
74,1763,556,5,250,2017-05-12,08:57:00,YES
75,390,87,2,100,2017-04-29,06:21:00,YES
76,453,741,4,100,2017-03-01,04:36:00,YES
77,1818,810,8,360,2017-01-26,04:28:00,YES
78,948,86,2,60,2017-06-07,23:52:00,YES
79,197,718,1,25,2017-02-15,15:22:00,YES
80,543,198,4,80,2017-06-20,00:47:00,YES
81,1524,270,8,400,2017-03-03,20:37:00,YES
82,958,376,4,200,2017-03-20,23:23:00,YES
83,788,5,2,70,2017-06-16,12:08:00,YES
84,686,715,10,300,2017-06-22,06:07:00,YES
85,814,623,5,125,2017-05-07,20:26:00,YES
86,390,310,10,500,2017-02-06,11:04:00,YES
87,1887,15,4,200,2017-04-21,07:35:00,YES
88,1242,609,7,175,2017-05-06,22:47:00,YES
89,1588,293,2,70,2017-03-23,15:50:00,YES
90,1771,314,6,240,2017-01-13,00:56:00,YES
91,165,921,5,250,2017-03-16,06:34:00,YES
92,1271,923,1,20,2017-07-04,02:43:00,YES
93,573,892,6,120,2017-01-31,02:57:00,YES
94,588,268,6,210,2017-03-13,06:12:00,YES
95,552,791,9,450,2017-07-19,19:56:00,YES
96,521,700,2,50,2017-07-21,07:00:00,YES
97,1663,703,4,120,2017-05-26,12:58:00,YES
98,373,248,3,135,2017-06-15,05:02:00,YES
99,1700,623,6,270,2017-06-16,18:07:00,YES
100,376,814,8,160,2017-02-03,04:40:00,YES
101,957,707,10,250,2017-03-26,17:56:00,YES
102,988,884,5,100,2017-03-05,20:33:00,YES
103,1495,985,6,180,2017-02-07,22:29:00,YES
104,1372,130,6,120,2017-07-22,17:13:00,YES
105,1916,681,5,150,2017-03-04,02:51:00,YES
106,153,330,8,240,2017-03-24,23:34:00,YES
107,311,201,2,60,2017-01-10,03:23:00,YES
108,1427,214,6,150,2017-02-11,03:23:00,YES
109,1579,195,2,60,2017-04-17,07:57:00,YES
110,516,528,4,120,2017-02-18,22:04:00,YES
111,1954,304,1,45,2017-01-29,07:53:00,YES
112,222,519,8,160,2017-02-19,00:49:00,YES
113,1977,784,1,35,2017-06-13,13:27:00,YES
114,106,819,2,60,2017-05-18,03:41:00,YES
115,1881,788,2,90,2017-02-21,19:36:00,YES
116,348,598,1,30,2017-02-14,15:01:00,YES
117,778,138,3,90,2017-03-07,15:18:00,YES
118,757,686,1,25,2017-07-25,08:18:00,YES
119,642,908,7,245,2017-07-13,08:13:00,YES
120,1952,13,5,200,2017-07-15,20:48:00,YES
121,1093,71,5,200,2017-04-19,00:27:00,YES
122,122,730,8,160,2017-06-20,11:06:00,YES
123,796,78,6,150,2017-02-02,00:12:00,YES
124,1254,871,10,350,2017-06-09,23:42:00,YES
125,1686,800,9,315,2017-05-23,20:39:00,YES
126,503,977,4,80,2017-05-16,11:14:00,YES
127,1697,430,10,400,2017-04-26,22:39:00,YES
128,174,436,3,90,2017-06-21,14:42:00,YES
129,1124,202,4,80,2017-06-26,14:29:00,YES
130,1135,485,7,175,2017-05-01,04:48:00,YES
131,1686,88,2,70,2017-06-15,19:30:00,YES
132,1988,309,2,70,2017-03-29,07:37:00,YES
133,1482,412,3,120,2017-06-07,01:53:00,YES
134,473,656,4,100,2017-04-06,14:45:00,YES
135,1347,201,6,240,2017-07-24,05:48:00,YES
136,534,931,4,140,2017-07-11,11:06:00,YES
137,1114,736,8,360,2017-06-09,20:40:00,YES
138,551,746,6,120,2017-03-04,21:56:00,YES
