e_id,show_id,time_event,date_event,ticket_price
1,469,12:00:00,2017-08-31,30
2,44,12:00:00,2017-12-31,25
3,602,15:00:00,2017-09-03,25
4,448,18:00:00,2017-09-10,45
5,877,09:00:00,2017-08-14,40
6,579,18:00:00,2017-11-14,50
7,146,09:00:00,2017-12-25,50
8,838,21:00:00,2017-08-14,45
9,827,21:00:00,2017-09-10,45
10,657,21:00:00,2017-11-12,40
11,62,18:00:00,2017-12-31,20
12,259,12:00:00,2017-12-21,40
13,216,21:00:00,2017-10-16,25
14,40,15:00:00,2017-09-18,35
15,886,09:00:00,2017-10-11,35
16,23,18:00:00,2017-10-14,35
17,859,15:00:00,2017-08-23,50
18,734,15:00:00,2017-11-03,20
19,8,09:00:00,2017-09-11,40
20,125,15:00:00,2017-12-04,25
21,645,18:00:00,2017-12-24,50
22,989,18:00:00,2017-09-23,50
23,499,21:00:00,2017-10-21,45
24,98,09:00:00,2017-12-24,30
25,484,21:00:00,2017-12-13,35
26,454,21:00:00,2017-10-28,25
27,38,21:00:00,2017-08-12,20
28,450,12:00:00,2017-10-26,25
29,343,18:00:00,2017-09-02,45
30,524,18:00:00,2017-12-24,40
31,167,12:00:00,2017-10-18,35
32,64,15:00:00,2017-09-01,20
33,196,21:00:00,2017-12-28,20
34,967,09:00:00,2017-10-16,40
35,718,21:00:00,2017-11-06,45
36,186,21:00:00,2017-12-03,35
37,988,12:00:00,2017-09-29,50
38,307,21:00:00,2017-10-16,20
39,209,15:00:00,2017-12-19,20
40,178,12:00:00,2017-08-15,20
41,642,21:00:00,2017-11-17,30
42,939,12:00:00,2017-12-06,35
43,513,21:00:00,2017-12-28,25
44,285,09:00:00,2017-08-01,25
45,398,12:00:00,2017-11-01,45
46,433,15:00:00,2017-09-09,45
47,319,15:00:00,2017-12-02,50
48,274,12:00:00,2017-11-25,40
49,25,21:00:00,2017-11-22,35
50,516,18:00:00,2017-11-07,30
51,304,15:00:00,2017-09-19,50
52,520,18:00:00,2017-09-26,30
53,578,21:00:00,2017-09-27,40
54,955,21:00:00,2017-12-16,45
55,374,21:00:00,2017-09-17,30
56,546,18:00:00,2017-12-05,30
57,293,18:00:00,2017-11-28,35
58,544,12:00:00,2017-11-13,25
59,105,15:00:00,2017-09-21,25
60,76,18:00:00,2017-12-24,45
61,409,18:00:00,2017-11-19,30
62,520,12:00:00,2017-12-04,25
63,142,12:00:00,2017-09-27,50
64,808,21:00:00,2017-11-16,50
65,1000,09:00:00,2017-10-11,20
66,40,12:00:00,2017-12-08,35
67,712,18:00:00,2017-10-28,20
68,14,21:00:00,2017-12-06,40
69,171,15:00:00,2017-10-27,25
70,519,21:00:00,2017-08-26,30
71,232,18:00:00,2017-08-08,45
72,103,09:00:00,2017-08-24,30
73,886,12:00:00,2017-08-11,35
74,520,21:00:00,2017-11-11,20
75,235,15:00:00,2017-09-04,20
76,218,21:00:00,2017-11-14,50
77,634,15:00:00,2017-12-01,40
78,309,12:00:00,2017-09-30,50
79,588,15:00:00,2017-11-15,50
80,55,09:00:00,2017-08-11,25
81,326,15:00:00,2017-09-11,20
82,592,12:00:00,2017-11-04,45
83,741,09:00:00,2017-12-17,30
84,350,12:00:00,2017-11-09,40
85,181,15:00:00,2017-09-22,35
86,585,18:00:00,2017-11-23,25
87,275,09:00:00,2017-10-24,30
88,990,12:00:00,2017-08-11,25
89,766,21:00:00,2017-08-28,40
90,443,18:00:00,2017-12-13,30
91,114,21:00:00,2017-12-07,35
92,551,21:00:00,2017-08-05,40
93,624,18:00:00,2017-12-10,30
94,493,18:00:00,2017-12-22,20
95,973,09:00:00,2017-09-19,20
96,392,18:00:00,2017-12-10,50
97,901,12:00:00,2017-10-12,25
98,234,09:00:00,2017-10-26,50
99,591,09:00:00,2017-10-27,30
100,736,18:00:00,2017-10-25,40
101,952,12:00:00,2017-10-22,35
102,768,12:00:00,2017-08-14,45
103,441,12:00:00,2017-08-07,35
104,800,18:00:00,2017-11-28,25
105,172,12:00:00,2017-11-05,40
106,424,09:00:00,2017-12-23,30
107,4,09:00:00,2017-10-12,40
108,380,15:00:00,2017-11-17,40
109,190,09:00:00,2017-12-29,35
110,142,12:00:00,2017-11-14,30
111,418,21:00:00,2017-08-14,25
112,437,12:00:00,2017-09-04,20
113,4,21:00:00,2017-10-30,20
114,414,09:00:00,2017-10-11,40
115,814,21:00:00,2017-10-27,45
116,639,21:00:00,2017-08-01,50
117,724,21:00:00,2017-08-17,45
118,26,18:00:00,2017-11-05,45
119,972,18:00:00,2017-09-07,30
120,938,09:00:00,2017-10-06,45
121,663,18:00:00,2017-11-27,40
122,265,15:00:00,2017-08-22,20
123,178,21:00:00,2017-11-25,30
124,631,21:00:00,2017-12-13,50
125,232,12:00:00,2017-11-28,40
126,425,09:00:00,2017-09-23,20
127,74,15:00:00,2017-11-27,40
128,83,21:00:00,2017-10-08,20
129,559,09:00:00,2017-10-09,40
130,465,09:00:00,2017-10-14,40
131,237,21:00:00,2017-09-05,45
132,477,12:00:00,2017-11-05,35
133,410,18:00:00,2017-09-06,30
134,120,09:00:00,2017-12-19,25
135,410,12:00:00,2017-10-13,25
136,924,15:00:00,2017-08-17,50
137,316,12:00:00,2017-09-16,45
138,781,18:00:00,2017-08-03,30
139,742,15:00:00,2017-11-30,20
140,77,09:00:00,2017-10-20,30
141,93,09:00:00,2017-09-14,40
142,216,18:00:00,2017-08-11,25
143,389,09:00:00,2017-08-27,30
144,408,18:00:00,2017-12-09,25
145,61,18:00:00,2017-10-10,50
146,121,21:00:00,2017-10-03,50
147,339,15:00:00,2017-10-13,20
148,233,15:00:00,2017-08-04,45
149,232,21:00:00,2017-12-18,50
150,235,12:00:00,2017-11-12,45
151,679,18:00:00,2017-12-17,35
152,920,12:00:00,2017-08-01,50
153,272,12:00:00,2017-09-29,30
154,499,15:00:00,2017-11-01,45
155,306,15:00:00,2017-12-04,35
156,164,12:00:00,2017-09-10,35
157,78,09:00:00,2017-10-12,20
158,62,12:00:00,2017-08-23,35
159,952,15:00:00,2017-10-28,20
160,518,09:00:00,2017-11-17,35
161,390,21:00:00,2017-12-25,45
162,839,21:00:00,2017-08-04,35
163,275,15:00:00,2017-12-01,25
164,360,21:00:00,2017-10-10,35
165,693,12:00:00,2017-12-03,50
166,873,21:00:00,2017-12-10,20
167,114,15:00:00,2017-11-22,35
168,640,21:00:00,2017-12-06,45
169,470,12:00:00,2017-09-02,20
170,903,15:00:00,2017-08-12,20
171,344,21:00:00,2017-12-14,30
172,528,12:00:00,2017-09-24,40
173,263,09:00:00,2017-12-07,50
174,549,15:00:00,2017-11-01,30
175,935,15:00:00,2017-09-01,25
176,163,21:00:00,2017-12-18,25
177,703,21:00:00,2017-11-24,45
178,551,18:00:00,2017-11-08,20
179,559,18:00:00,2017-09-24,30
180,475,18:00:00,2017-09-20,40
181,686,12:00:00,2017-09-13,20
182,167,15:00:00,2017-08-24,50
183,369,12:00:00,2017-10-31,35
184,804,09:00:00,2017-11-28,25
185,979,18:00:00,2017-11-15,30
186,988,09:00:00,2017-11-04,45
187,466,12:00:00,2017-09-29,45
188,39,15:00:00,2017-10-19,20
189,404,18:00:00,2017-09-04,50
190,878,12:00:00,2017-11-21,35
191,539,18:00:00,2017-09-01,35
192,356,21:00:00,2017-09-20,35
193,645,15:00:00,2017-11-02,20
194,804,12:00:00,2017-10-19,50
195,58,15:00:00,2017-09-12,40
196,926,12:00:00,2017-09-04,50
197,372,15:00:00,2017-12-29,25
198,918,09:00:00,2017-10-05,25
199,955,18:00:00,2017-09-19,40
200,967,21:00:00,2017-08-03,45
201,733,18:00:00,2017-10-16,30
202,233,18:00:00,2017-10-13,40
203,995,21:00:00,2017-08-18,45
204,610,09:00:00,2017-10-23,45
205,894,09:00:00,2017-09-17,35
206,181,21:00:00,2017-08-03,25
207,960,15:00:00,2017-12-04,25
208,323,15:00:00,2017-11-02,40
209,298,12:00:00,2017-11-27,50
210,920,21:00:00,2017-11-17,40
211,520,12:00:00,2017-11-01,45
212,886,12:00:00,2017-10-03,40
213,778,09:00:00,2017-08-31,25
214,625,18:00:00,2017-11-29,40
215,718,15:00:00,2017-12-22,35
216,329,09:00:00,2017-12-19,50
217,589,18:00:00,2017-10-28,45
218,275,15:00:00,2017-09-25,20
219,472,15:00:00,2017-12-12,20
220,617,12:00:00,2017-09-01,30
221,386,09:00:00,2017-08-30,45
222,540,21:00:00,2017-10-11,20
223,775,15:00:00,2017-08-23,20
224,325,12:00:00,2017-10-02,50
225,557,18:00:00,2017-08-13,25
226,344,18:00:00,2017-10-28,20
227,351,15:00:00,2017-09-10,25
228,590,21:00:00,2017-08-09,30
229,219,09:00:00,2017-11-15,25
230,843,09:00:00,2017-12-31,50
231,360,09:00:00,2017-10-01,20
232,645,21:00:00,2017-08-09,35
233,78,09:00:00,2017-10-29,40
234,905,15:00:00,2017-12-31,50
235,942,09:00:00,2017-11-01,30
236,967,15:00:00,2017-11-16,20
237,775,12:00:00,2017-08-09,45
238,260,15:00:00,2017-10-06,50
239,733,21:00:00,2017-09-13,25
240,495,12:00:00,2017-12-05,45
241,649,21:00:00,2017-10-18,45
242,734,12:00:00,2017-11-11,30
243,44,09:00:00,2017-10-23,30
244,850,15:00:00,2017-09-11,25
245,543,18:00:00,2017-08-15,25
246,273,18:00:00,2017-10-02,20
247,796,12:00:00,2017-09-25,50
248,441,21:00:00,2017-09-19,25
249,648,09:00:00,2017-09-03,25
250,55,18:00:00,2017-11-30,50
