show_id,movie_cast,release_date,director,rating
1,Troy Singleton,2017,Gina Harris,R
2,Nicole Robertson,2003,Andrew Hughes,PG-16
3,William Walker,2010,Nicole Hamilton,U
4,Charles Nguyen,2012,Dawn Martinez,R
5,Crystal Ramos,2004,Louis Romero,R
6,Douglas Sanchez,2011,Edward Shields,A
7,Traci Morris,2012,Jennifer Rodriguez,A
8,Carrie Miller,2006,James Duran,U
9,Andrew Harris,2002,Laura Rodgers,A
10,Laura Martinez,2016,Kevin Lambert,PG-16
11,Brittany Turner,2002,Eric Martin,PG-13
12,Julia Hanson,2011,Elizabeth Reyes,U
13,Andre Martin,1999,Kathleen Hernandez,R
14,Christopher Cochran,2014,Robin Cook,R
15,Anthony Jones,1992,Tiffany Gonzalez,A
16,Stephen Edwards,2013,Anthony Williams,PG-13
17,Melissa Harvey,2003,Daniel Stone,A
18,Laura Chen,1992,Nicholas Garrett,A
19,Manuel Montes,2003,Alexandria Cunningham,U
20,Jade Hall,2001,Rhonda Parks,U
21,Carol Padilla DDS,1997,George Quinn,PG-13
22,Tracy Hernandez,1993,Gina Perez,A
23,Ray Gordon,2000,Paul Castillo,A
24,Eric Bradley,1995,Susan Barnes DVM,PG-13
25,Katrina Gibson,1992,Kristin Parrish,A
26,Vanessa Hall,2010,Richard Adams,A
27,Stephanie Jones,2000,Ray Ball,PG-13
28,Matthew Gutierrez,1997,David Thompson,R
29,Hannah Rivers,1991,Jeff Franklin,U
30,William Larsen,1996,Jessica Long,PG-13
31,Antonio Page,2011,Rhonda Woods,U
32,Michael Trujillo,2004,Roger Parks,PG-13
33,John Miller,1996,Zachary Dennis,R
34,Katherine Hughes,2004,Breanna Sandoval,R
35,Kristin Knight,1991,Lisa Warren,R
36,Sara Cooper MD,2001,Laura Cook,A
37,Jose Jordan,2003,Jeffrey Le,R
38,Mr. Luis Duran Jr.,2001,Brian Washington,U
39,Scott Ferguson,1996,Jenna Baker,PG-13
40,Mark Poole,2014,Heather Espinoza,PG-13
41,Ricardo Howard,2009,Robert West,A
42,Natalie Duran,2015,Steven Morales,U
43,Alicia Williams,1996,Heather Decker,R
44,Sarah Spencer,1992,Maria Flores,PG-13
45,Kelly Guerra,2003,Karen Johnson,U
46,William Black,2005,Joseph Moran,A
47,Tracy Reynolds,1997,Michael Bruce,R
48,Daniel Hendrix,2014,Wendy Jones,PG-13
49,Melissa Johnson,1995,Julia Allen,R
50,Joshua Montoya,2011,Brian Yang,PG-16
51,Nathan Watts,1994,Nicole Pena,A
52,Jean Walker,2009,Matthew Small,A
53,John Vargas,2011,Daniel Blair,PG-16
54,Rick Watkins,1992,James Hayes,PG-13
55,Karen Avila,2007,Dylan Armstrong,PG-16
56,Donald Ward,2005,Frank Williams,PG-13
57,Elizabeth Clark,1995,Alexander Cox,PG-16
58,Jennifer Walker,2016,Eric Johnson,R
59,Stephanie Mcdowell,2002,Steven Snyder,U
60,Christopher Wilkerson,2007,Eric Blevins,PG-16
61,Austin Allen,2012,Richard Waters,U
62,Zachary Phelps,1994,Jesus Taylor,U
63,Elizabeth Sosa,2014,Cory Young,A
64,Jodi Jones,2010,Brian Carroll,R
65,Thomas Park,2011,Elizabeth Peters,R
66,Christian Walker,2006,James Hines,U
67,Corey Matthews,1990,Mr. Steve Salas,U
68,Sonya Fry,2001,Angel Fitzpatrick,PG-16
69,Jacob Carter,1990,Angel Thompson,R
70,Kayla Williamson,2003,Kimberly Miller,U
71,Michael Mitchell,2012,James Lam,R
72,Joseph Bishop,2002,Richard Newton,R
73,Matthew Lin,1990,Sabrina Rivera,U
74,Mary Pope,2006,Alicia Hill,A
75,Emily Mcgee MD,2009,Richard Schmidt,PG-13
76,Mark Galvan,1998,Christine Elliott,A
77,Travis Weber,1992,Roger Horne,U
78,Thomas Wells,2007,Cheryl Williams,PG-16
79,Francisco Brown,1991,Mary Moore,PG-16
80,Diane Dixon,1994,Robert Villegas,R
81,Patrick Wilson,2017,Robyn Klein,PG-16
82,Natalie Blake,2017,Thomas Crawford,PG-13
83,Mary Munoz,2015,Michael Scott,R
84,Brittney Henry,1991,Bobby Morgan,PG-16
85,Erica Wright,2010,David Thomas,A
86,Willie Small,2003,Shirley Mejia,R
87,Jerry Bernard,1990,Leslie Diaz,PG-16
88,Mary Lindsey,2012,Katherine Hines,U
89,Kristin Smith,2001,Bradley Ellis,PG-13
90,Robert Harris,2012,Matthew Stewart,R
91,Jeffery Wu,2007,Ashley Torres,PG-16
