show_id,performers,performance_type
501,Randall Love,Magic Show
502,Joseph Joseph,Drama
503,Douglas Pratt,Play
504,Diane Allen,Opera
505,Timothy Farmer,Drama
506,Kendra Warren,Opera
507,Carly Chapman,Magic Show
508,Michael Ruiz,Opera
509,Anne Davis,Dance
510,James Roberson,Opera
511,Larry Bryant,Dance
512,Cassandra Horton,Opera
513,Richard Gilmore,Opera
514,Shawn Stein,Magic Show
515,Dr. James Anderson Jr.,Drama
516,Mary Thompson,Opera
517,Mary Lee,Magic Show
518,Nathan Lam,Opera
519,Kevin Smith,Magic Show
520,Jeffrey Cantrell,Dance
521,Felicia Bright,Drama
522,Emily Morris,Dance
523,Thomas Stevens,Drama
524,Jeffrey Bell,Opera
525,Kenneth Brown,Magic Show
526,Stephen Powers,Magic Show
527,Robert Rhodes,Dance
528,Jerry Carroll,Drama
529,Jesus Miller,Dance
530,Kathryn Martin,Dance
531,Nichole Evans,Play
532,Andrea Suarez,Dance
533,Makayla Rollins,Opera
534,Maria Whitney,Magic Show
535,Allison Stevens,Opera
536,Christopher Kim,Dance
537,Andrew Evans,Opera
538,Steven Anderson,Magic Show
539,Francisco Delgado,Magic Show
540,David Jordan,Drama
541,Sean Lee PhD,Drama
542,Russell Martin,Dance
543,Joseph Ponce,Play
544,Cole Williams,Opera
545,Danielle Moore,Dance
546,Christopher Smith,Dance
547,Karl Thomas,Drama
548,Kenneth Hinton,Opera
549,Jasmine Weaver,Dance
550,Deborah Rivera,Play
551,Rhonda Hinton,Play
552,Sarah Villanueva,Drama
553,Jessica Mullen,Opera
554,Phillip Mason,Magic Show
555,Mary Christensen,Magic Show
556,Alisha Lindsey,Opera
557,Alyssa Fleming,Drama
558,Shawn Hardin,Play
559,Nicole Proctor,Magic Show
560,Angela Kennedy,Magic Show
561,Kenneth Montgomery,Dance
562,Paul Little,Dance
563,Lisa Frazier,Drama
564,Monica Collins,Play
565,Matthew Walker DDS,Play
566,Michael Rodriguez,Dance
567,Sarah Atkins,Dance
568,Claudia Maynard,Dance
569,Debra Hansen,Opera
570,Heather Preston,Play
571,William Stewart,Play
572,Rachel Yang,Dance
573,Vanessa Jones,Drama
574,Joshua Torres,Opera
575,Robert Williams,Drama
576,Benjamin Sanchez,Magic Show
577,Tiffany Smith,Play
578,Breanna Taylor,Opera
579,Steven Mcclain,Play
