r_id,show_id,hall_id,r_date,r_time
1,401,255,2016-09-01,10:18:00
2,118,234,2016-10-05,04:05:00
3,98,46,2016-10-31,19:34:00
4,308,312,2016-08-17,17:46:00
5,107,269,2016-08-22,05:32:00
6,233,5,2016-11-20,12:48:00
7,317,179,2016-08-27,02:40:00
8,414,327,2016-12-01,16:51:00
9,368,407,2016-10-19,23:41:00
10,342,276,2016-08-07,14:41:00
11,427,316,2016-08-25,23:21:00
12,73,487,2016-09-13,09:37:00
13,284,179,2016-12-05,06:35:00
14,484,309,2016-08-24,10:52:00
15,408,96,2016-11-03,12:18:00
16,78,89,2016-11-26,01:57:00
17,256,175,2016-12-05,04:56:00
18,334,378,2016-12-21,21:23:00
19,398,474,2016-08-18,21:54:00
20,350,120,2016-09-17,21:42:00
21,424,415,2016-09-26,01:04:00
22,245,179,2016-08-28,08:54:00
23,25,97,2016-11-13,14:58:00
24,72,257,2016-11-19,05:17:00
25,267,480,2016-08-22,18:46:00
26,186,373,2016-08-24,06:08:00
27,416,468,2016-08-18,05:00:00
28,284,480,2016-08-21,07:14:00
29,35,319,2016-12-26,10:21:00
30,380,226,2016-12-05,02:37:00
31,9,11,2016-12-27,06:46:00
32,277,254,2016-11-09,10:51:00
33,152,376,2016-09-29,10:55:00
34,351,245,2016-08-06,08:55:00
35,389,57,2016-12-10,05:31:00
36,182,172,2016-08-10,20:08:00
37,209,459,2016-08-03,22:43:00
38,37,446,2016-11-15,16:10:00
39,140,176,2016-11-28,02:21:00
40,255,289,2016-09-03,08:29:00
41,448,124,2016-11-14,13:40:00
42,274,130,2016-08-16,06:53:00
43,58,316,2016-09-03,23:33:00
44,266,354,2016-08-23,13:34:00
45,218,341,2016-09-02,11:32:00
46,32,327,2016-10-13,09:01:00
47,210,499,2016-08-05,06:43:00
48,332,164,2016-08-19,02:11:00
49,362,316,2016-09-15,19:14:00
50,171,305,2016-11-18,02:02:00
51,446,261,2016-08-22,20:47:00
52,259,71,2016-11-15,19:57:00
53,326,238,2016-10-21,05:01:00
54,65,327,2016-09-04,02:35:00
55,74,138,2016-11-10,15:30:00
56,105,51,2016-11-30,22:56:00
57,406,158,2016-11-26,19:26:00
58,171,220,2016-09-04,00:21:00
59,387,180,2016-10-07,07:15:00
60,232,194,2016-08-25,04:13:00
61,481,49,2016-11-03,23:13:00
62,342,329,2016-08-15,19:00:00
63,491,336,2016-11-07,15:30:00
64,480,9,2016-08-17,14:01:00
65,367,401,2016-11-12,06:56:00
66,169,361,2016-11-26,20:41:00
67,375,258,2016-09-05,08:47:00
68,360,263,2016-11-21,15:31:00
69,472,92,2016-09-21,04:40:00
70,126,105,2016-10-07,02:04:00
71,239,440,2016-08-26,01:23:00
72,277,43,2016-10-28,09:04:00
73,176,484,2016-08-05,03:19:00
74,244,491,2016-12-26,02:14:00
75,79,249,2016-09-19,07:42:00
76,479,215,2016-12-10,05:19:00
