hall_id,size,type,experience
1,7384,Dome,2D
2,9472,Flat,4D
3,5325,Curve,3D
4,5166,Flat,3D
5,8536,Curve,3D
6,6886,Dome,4D
7,5861,Flat,4D
8,8463,Curve,2D
9,6668,Curve,4D
10,6641,Dome,4D
11,7150,Curve,2D
12,9214,Flat,2D
13,6485,Curve,2D
14,5836,Curve,3D
15,5157,Dome,4D
16,5302,Flat,3D
17,4772,Curve,2D
18,9508,Dome,4D
19,9627,Curve,4D
20,9339,Flat,3D
21,9256,Curve,4D
22,7287,Flat,4D
23,8927,Flat,3D
24,7397,Flat,2D
25,7008,Flat,2D
26,6976,Dome,3D
27,5373,Curve,2D
28,8156,Dome,4D
29,4735,Dome,3D
30,9015,Curve,3D
31,7208,Flat,2D
32,5279,Dome,4D
33,7640,Curve,2D
34,4305,Curve,4D
35,4676,Flat,2D
36,9892,Curve,3D
37,7734,Dome,3D
38,8259,Flat,4D
39,6388,Dome,2D
40,5306,Flat,4D
41,5669,Flat,2D
42,7683,Dome,3D
43,6053,Curve,4D
44,5150,Dome,4D
45,4763,Dome,4D
46,5882,Curve,2D
47,7649,Curve,3D
48,6506,Curve,2D
49,8085,Flat,3D
50,5213,Dome,3D
51,4670,Flat,3D
52,5507,Curve,4D
53,8475,Dome,2D
54,5844,Curve,4D
55,8509,Dome,2D
56,9710,Curve,4D
57,6943,Dome,4D
58,9380,Dome,3D
59,6366,Flat,4D
60,7635,Flat,3D
61,4425,Flat,2D
62,9214,Dome,2D
63,6381,Dome,3D
64,4830,Dome,4D
65,9654,Curve,4D
66,5332,Curve,3D
67,7252,Flat,3D
68,5808,Dome,3D
69,5185,Dome,4D
70,7743,Dome,3D
71,9768,Curve,2D
72,8577,Flat,4D
73,6484,Curve,2D
74,6808,Curve,2D
75,7388,Curve,4D
76,8094,Dome,4D
77,7772,Curve,4D
78,4958,Dome,2D
79,6899,Curve,2D
80,4360,Curve,4D
81,5832,Flat,4D
82,6816,Dome,2D
83,7493,Curve,3D
84,6326,Curve,3D
85,5651,Curve,4D
86,4360,Dome,3D
87,9015,Flat,2D
88,4347,Dome,3D
89,9959,Dome,2D
90,9113,Dome,3D
91,5329,Dome,2D
92,9657,Curve,4D
93,8569,Dome,4D
94,4362,Flat,3D
95,7283,Dome,2D
96,8538,Dome,2D
97,9083,Dome,4D
98,8528,Curve,4D
99,5646,Dome,2D
100,4134,Curve,2D
101,7939,Curve,3D
102,5347,Dome,4D
103,7854,Dome,3D
104,8874,Flat,4D
105,7524,Curve,2D
106,9371,Dome,3D
107,7535,Dome,3D
108,4425,Dome,2D
109,5399,Dome,4D
110,4090,Curve,3D
111,5586,Dome,3D
112,7821,Curve,4D
113,7034,Flat,3D
114,4610,Flat,3D
115,4872,Curve,3D
116,6855,Dome,2D
117,8090,Flat,4D
118,6096,Curve,2D
119,7765,Dome,2D
120,8764,Flat,3D
121,7147,Dome,4D
122,7537,Dome,4D
123,9719,Curve,3D
124,6270,Curve,4D
125,4536,Flat,2D
126,5629,Dome,4D
127,9423,Flat,4D
128,6798,Flat,4D
129,6531,Curve,2D
130,8702,Curve,4D
131,4206,Flat,3D
132,7674,Flat,3D
133,5869,Curve,3D
134,9988,Flat,2D
135,8967,Dome,3D
136,5345,Dome,2D
137,9599,Flat,3D
138,7765,Curve,2D
139,9035,Flat,4D
140,6070,Dome,2D
141,9776,Dome,2D
142,4697,Dome,2D
143,9187,Dome,3D
144,8328,Flat,2D
145,7753,Flat,4D
146,6529,Dome,4D
147,6601,Curve,3D
148,6113,Flat,4D
149,6776,Dome,4D
150,5465,Curve,2D
151,7923,Curve,2D
152,9847,Dome,2D
153,6310,Flat,2D
154,6840,Dome,2D
155,8073,Dome,3D
156,8227,Curve,3D
157,6034,Flat,3D
158,9369,Curve,2D
159,5859,Curve,2D
160,9274,Flat,3D
161,4167,Curve,4D
162,7498,Curve,4D
163,7937,Flat,2D
164,9706,Flat,4D
165,6071,Dome,4D
166,9544,Dome,3D
167,5091,Curve,4D
168,9794,Dome,3D
169,4550,Flat,2D
170,7113,Curve,3D
171,7398,Curve,4D
172,6017,Dome,3D
173,5302,Curve,2D
174,7967,Curve,4D
175,7631,Flat,2D
176,5136,Flat,2D
177,4318,Curve,3D
178,7236,Flat,3D
179,5310,Flat,4D
180,5892,Dome,4D
181,7108,Dome,3D
182,5661,Flat,2D
183,7633,Dome,2D
184,9177,Flat,4D
185,7850,Dome,3D
186,4514,Dome,3D
187,9944,Flat,4D
188,6117,Curve,4D
189,6119,Curve,2D
190,6002,Flat,2D
191,7968,Flat,2D
192,6061,Dome,4D
193,8959,Dome,2D
194,8609,Curve,3D
195,8527,Dome,3D
196,4748,Dome,4D
197,5040,Dome,2D
198,8424,Flat,3D
199,4283,Flat,3D
200,8538,Dome,2D
201,8045,Dome,2D
202,7915,Dome,3D
203,8401,Curve,4D
204,9456,Flat,2D
205,8863,Flat,4D
206,8046,Flat,2D
207,6788,Flat,3D
208,4394,Flat,4D
209,6898,Curve,2D
210,5624,Dome,2D
211,5219,Flat,4D
212,4563,Flat,4D
213,7034,Flat,4D
214,9876,Dome,4D
215,4893,Flat,3D
216,9779,Flat,4D
217,7931,Flat,3D
218,7798,Flat,2D
219,7544,Flat,2D
220,6302,Flat,4D
221,5465,Dome,4D
222,8368,Flat,3D
223,5313,Dome,4D
224,9129,Curve,3D
225,4686,Flat,2D
226,8333,Dome,4D
227,6547,Flat,4D
228,8565,Flat,2D
229,5912,Curve,3D
230,7981,Dome,2D
231,4850,Flat,3D
232,7078,Flat,2D
233,9793,Curve,2D
234,8294,Dome,4D
235,7847,Curve,2D
236,5808,Dome,4D
237,6853,Curve,2D
238,5539,Flat,3D
239,6566,Flat,4D
240,7195,Dome,4D
241,8825,Dome,3D
242,6675,Curve,3D
243,4808,Curve,4D
244,6873,Curve,3D
245,7110,Curve,2D
246,9922,Flat,4D
247,7274,Curve,4D
248,7408,Curve,4D
249,6735,Dome,3D
250,6450,Flat,2D
251,7363,Flat,4D
252,8162,Dome,4D
253,5808,Flat,4D
254,5646,Dome,4D
255,4824,Dome,2D
256,8102,Curve,4D
257,7826,Flat,3D
258,4722,Dome,3D
259,4036,Dome,2D
260,4392,Flat,3D
261,5946,Flat,2D
262,5857,Flat,2D
263,9431,Curve,2D
264,5377,Curve,4D
265,9831,Flat,4D
266,8591,Curve,2D
267,8565,Dome,4D
268,9691,Curve,4D
269,5223,Dome,2D
270,7268,Flat,2D
271,4447,Dome,3D
272,5860,Flat,2D
273,4664,Curve,2D
274,8865,Dome,3D
275,9679,Dome,4D
276,8972,Curve,2D
277,4859,Curve,2D
278,6379,Flat,4D
279,6444,Curve,4D
280,7419,Curve,3D
281,7434,Flat,3D
282,8729,Dome,2D
283,6130,Flat,4D
284,8223,Dome,2D
285,7332,Dome,3D
286,9430,Curve,3D
287,4494,Curve,2D
288,7628,Dome,4D
289,9481,Dome,2D
290,8940,Curve,2D
291,7353,Flat,4D
292,4644,Flat,3D
293,6004,Curve,4D
294,5674,Curve,4D
295,4298,Dome,4D
296,7289,Dome,2D
297,7537,Dome,4D
298,7868,Flat,3D
299,6758,Curve,4D
300,6871,Curve,3D
301,7106,Dome,3D
